track_name,artist_name,artist_id,track_id,popularity,duration_ms,duration_min,time_range,album,release_date,explicit
VIBES DON'T LIE,Leon Thomas,0nnBZ8FXWjG9wZgM2cpfeb,1WwrfoGe0K33z1tVI6mevJ,68,201567,3.36,Last 4 weeks,MUTT,2024-09-27,True
True,Clementine Douglas,4DWuml4Jf6K81b5rAPwMb6,21SUW6VqiPSwSumXMPYQtz,47,236225,3.94,Last 4 weeks,True,2024-10-25,False
Body Talk,Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,1iiuYKdJrhOWt2LwSTyiVx,34,196023,3.27,Last 4 weeks,Body Talk,2018-06-08,False
Ngiyazisola,MK Productions,6jUYsFkr46ErYnMV82HgQ8,7cnZmTYj4QpwLJPdJBbfKc,37,431186,7.19,Last 4 weeks,Ngiyazisola,2025-07-25,False
Only for You,Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,1H4qWZy8aBW90r8SWgCTKE,20,343000,5.72,Last 4 weeks,Only for You,2016-01-22,False
I Can Make It,Yvvan Back,68fI3XKiTlRMJBYuxKJFU3,757JhgcGehkdm3PD1ENO7u,25,170970,2.85,Last 4 weeks,I Can Make It,2020-11-06,False
Fountains (with Tems),Drake,3TVXtAsR1Inumwj472S9r4,08XWh5c0BMyD1nKVxxl91z,70,192417,3.21,Last 4 weeks,Certified Lover Boy,2021-09-03,True
RMF,Oxlade,3WTrdbZU99dgTtt3ZkyamT,4HRjfapwFUga07NJr0Q4l6,32,178493,2.97,Last 4 weeks,OFA (Oxlade From Africa),2024-09-20,True
I Wanna Feel - Radio Edit,Secondcity,2ew9JvyyuOGkhahuwdovDq,0q5dEQ0jsiT376OCYABAN1,60,185543,3.09,Last 4 weeks,I Wanna Feel,2014-05-25,False
4Real - Selena Faider Remix,Piem,08st4VKj9jjZJ5eKzAOHq8,31fL8MPq99PU8qlHPmLiDx,12,161280,2.69,Last 4 weeks,4Real,2023-06-09,False
soso,Omah Lay,5yOvAmpIR7hVxiS6Ls5DPO,3KwS5ClQ1ipUPUUHIIt8Pk,63,183056,3.05,Last 4 weeks,Boy Alone (Deluxe Edition),2023-06-15,True
Bootman,Ross from Friends,1Ma3pJzPIrAyYPNRkp3SUF,3mNXKbWX8ZAL8AW97dnoLq,37,365968,6.1,Last 4 weeks,You'll Understand,2017-02-10,False
Alone No More,Philip George,0Q9slhIaEgg190iG8udYIV,4nzUclEJiSUwQQcCCEbNAA,58,173325,2.89,Last 4 weeks,Alone No More,2015-08-21,False
My Love,Kudbeu,2HbUBaeQKxeIjd0sOfHyFX,57w1ZWfXKlDKyPiTe4Znxy,45,438260,7.3,Last 4 weeks,Outsiders II,2025-08-29,False
Ya Know,Mat.Joe,38jpuy3yt3QIxQ8Fn1HTeJ,5EYlU3M7d53aDLzxJCIUqu,36,332903,5.55,Last 4 weeks,Ya Know,2019-05-24,False
Ginger,Luu Deep,0pISdyMv9BaDRlu5RGtNrw,5depYSjvrQjMiQdVriXTcP,35,380947,6.35,Last 4 weeks,Ginger,2025-08-01,False
If You Were Here Tonight,Alexander O'Neal,047D9GgqEzyMoULd2oKr7G,1zl5xOvzInBy7esv1UAnrc,54,370733,6.18,Last 4 weeks,Alexander O'Neal,1985-01-01,False
JOY (Up The Street),Joy Anonymous,3pK4EcflBpG1Kpmjk5LK2R,1d9NF9D6HgLWvGQyPrYE98,53,237979,3.97,Last 4 weeks,Cult Classics,2023-11-03,False
In My Soul,Never Dull,2u3rmzZC0psTER2sDfUebm,36LWU6uzZsIbTDQdLxBpi3,19,386784,6.45,Last 4 weeks,Secret Stash Collection,2020-02-28,False
All About Us,Harrison,0IbD9X6mgxyaIKT3aqzioT,3EwT7uWmy6f5T8LRcQwiRn,53,158500,2.64,Last 4 weeks,All About Us,2025-10-22,False
Make Me Feel Better - Don Diablo & CID Remix Radio Edit,Alex Adair,1mrrvBvbrm28iYaPlJ9mG5,3Oz1oOD6Um6ETnimVdBfil,8,202460,3.37,Last 4 weeks,Make Me Feel Better (Remixes),2015-04-14,False
Make Your Move,Anton Powers,7h7ahzbTkbAFsshWJ7fOrc,4cuJbDiraxt9AsEeevmFuQ,56,168991,2.82,Last 4 weeks,Make Your Move,2019-01-18,False
Pacman,Gvin Deep,6DddAla7G2qQE5eQAjE7Cx,5vUSgvUbGm6r45ArazvT1h,17,417932,6.97,Last 4 weeks,Marinated Soundz Vol. 2 (Compiled By Mlar),2025-03-28,False
GO,Tekno,6IhG3Yxm3UW98jhyBvrIut,6xhxjkhzbf4kfDSCOEYgqZ,51,242442,4.04,Last 4 weeks,GO,2017-07-29,False
You - Extended Mix,Martin Ikin,7DhdJhd6DrxeJlUajwttd1,71wk1tcr2ESsjwvQSljz2E,15,352379,5.87,Last 4 weeks,You,2021-01-22,False
Abasekho,JAZZWRLD,3idyOn3lhSxgV2qdDQNfhz,4fJTDQsxaNee8nmol1OLjI,59,364156,6.07,Last 4 weeks,The Most Wanted,2025-09-18,False
LEMME KNOW,Fatso 98,74bStQkp3goZ5lMZuG8JUr,7nxoDQ7VcnlF2DkbYD9ryw,28,407260,6.79,Last 4 weeks,THE XO EFFECT 2,2024-11-29,False
This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,7keGfmQR4X5w0two1xKZ7d,1A8j067qyiNwQnZT0bzUpZ,77,195546,3.26,Last 4 weeks,Layers,2016-11-04,False
4 U,Sideluv,3Qav2btak3NJY2w6NbVC1Y,4ODNzEQLHGZpL353cCf4aQ,37,202926,3.38,Last 4 weeks,4 U,2023-10-20,False
White Noise,Disclosure,6nS5roXSAGhTGr34W6n7Et,5EWFuo4ObEnfndc57sTuIo,64,277687,4.63,Last 4 weeks,Settle (Special Edition),2013-06-03,False
17 - Extended Mix,MK,1yqxFtPHKcGcv6SXZNdyT9,06KgcPPaleIF2R6eZzhUiH,20,352942,5.88,Last 4 weeks,17,2017-12-15,False
hard all night,Soul Legend,55KBAeJzZBcJ5AhPW5OOpy,0XyAk6kmpprHJQMIU14BBB,45,181000,3.02,Last 4 weeks,hard all night,2025-04-25,False
Addiction,Stephan Jolk,7w0ddx9rFndvpiqO1VOxJM,0bZuey97qh7rJ0MsQRO9vb,28,214000,3.57,Last 4 weeks,Addiction,2024-04-12,False
Good Girl,Vanessa Marquez,1sHeeklNkT43hN0gcuunOB,0eQcmmibxiv1Upo5m9Yis2,4,250280,4.17,Last 4 weeks,The Neptunes Present... Clones,2003-08-18,False
Never Let Go,Mandal & Forbes,2IsGmtnhtOaU6EZeRwfxJv,0hLxnAZRbheWrmnALF4Khw,13,205462,3.42,Last 4 weeks,Never Let Go,2014-10-17,False
Hard Times,Paramore,74XFHRwlV6OrjEM0A2NCMF,0w5Bdu51Ka25Pf3hojsKHh,79,182693,3.04,Last 4 weeks,After Laughter,2017-05-12,False
Time After Time,Babert,2WyIaamOi8lW7R7nhGMDoe,1BuIHCfhCYRloFTmvmPYop,51,230283,3.84,Last 4 weeks,Time After Time,2019-07-05,False
Tell Me - Extended Mix,chriz javey,4n545NeyanWohXT6Ku1Br8,246mcYdjzsVy37H69H8KlV,5,189090,3.15,Last 4 weeks,Tell Me,2024-11-29,False
So Mi So,Wande Coal,1fYVmAFB7sC7eDoF3mJXla,2KG2MggKHSVTKR8nLJX8DV,55,245182,4.09,Last 4 weeks,So Mi So,2018-05-07,False
Take Me To The River,Kelvin Momo,4VlxI0WKDh7HFgHjXcfj6v,2SRFbIZWNY8aTaXS9iocYw,46,450879,7.51,Last 4 weeks,Thato Ya Modimo,2025-05-30,False
Just like you,MÖRDA,0M8NOvT5MTp13jYZ0bZZQp,2UAz0hwLqFomXymVDbDwul,20,431202,7.19,Last 4 weeks,Asante III,2025-03-28,False
Wasting Time,Zac Samuel,3imlibJrwqYv8gqII7u4r0,3sIxH6PbrndAo9idzqpbt9,36,146580,2.44,Last 4 weeks,Wasting Time,2021-10-08,False
Am I Just Living,SHEE,1jrRLqDsOOKIagQXYPq2Iv,43AFjjpou0fSv1IVayDrIe,35,360970,6.02,Last 4 weeks,Champagne & Guinness (Album Sampler),2018-10-22,False
Rally House,prod. DTM,661DKnfZy9RMb8FcbUZboE,4CLh2FZhGbH7EouNDJQvjx,64,96396,1.61,Last 4 weeks,Rally House,2024-01-23,False
Your Beauty Is a Spoiler,Rhode & Brown,3tA0d4G3jC6CXf6MXEZE5T,4uxpCsfPdWD4IFVQ06vQ0d,15,398809,6.65,Last 4 weeks,Nine to Shine,2019-09-27,False
Don't Give Up (On Love) - Radio Edit,Blinkie,0nJcDqY6ox4kHB92AuRA8j,510dajaNLOHBE2F8ozAdzn,45,187320,3.12,Last 4 weeks,Don't Give Up (On Love) [Radio Edit],2015-09-04,False
Adieu,Tchami,1KpCi9BOfviCVhmpI4G2sY,53Us5C3wTQ2zi6ODWhmHMN,55,413333,6.89,Last 4 weeks,Adieu,2017-02-03,False
Closer (feat. Lilly Ahlberg),Sonny Fodera,39B7ChWwrWDs7zXlsu3MoP,5FDdviWQzhw7NWH2TiDl9d,41,169901,2.83,Last 4 weeks,Closer (feat. Lilly Ahlberg),2021-04-30,False
Step Down,DJ Nkabza,1dpV6R8TUpxsMLjkeog1j9,5UBSGuCmxR1JjxS8nW9kLj,32,343975,5.73,Last 4 weeks,Step Down,2025-09-13,False
My Love,Jethro Heston,1Qj4wPnd5DKW7TXALK7Xfj,5Vi0u7cGTcPrXk6ZOoppnp,53,156209,2.6,Last 4 weeks,My Love,2022-04-29,False
VIBES DON'T LIE,Leon Thomas,0nnBZ8FXWjG9wZgM2cpfeb,1WwrfoGe0K33z1tVI6mevJ,68,201567,3.36,Last 6 months,MUTT,2024-09-27,True
RMF,Oxlade,3WTrdbZU99dgTtt3ZkyamT,4HRjfapwFUga07NJr0Q4l6,32,178493,2.97,Last 6 months,OFA (Oxlade From Africa),2024-09-20,True
SPACE INVADER,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,5EsKjjNxjKeDjlxqdSs4X4,59,274302,4.57,Last 6 months,AIN'T NO DAMN WAY!,2025-08-15,False
Take Me To The River,Kelvin Momo,4VlxI0WKDh7HFgHjXcfj6v,2SRFbIZWNY8aTaXS9iocYw,46,450879,7.51,Last 6 months,Thato Ya Modimo,2025-05-30,False
Bootman,Ross from Friends,1Ma3pJzPIrAyYPNRkp3SUF,3mNXKbWX8ZAL8AW97dnoLq,37,365968,6.1,Last 6 months,You'll Understand,2017-02-10,False
You're Not My Kind Of Girl,New Edition,1mFX1QlezK1lNPKQJkhwWb,202QpSJo7inyEKWeARd5Ax,48,241693,4.03,Last 6 months,Heart Break,1988-01-01,False
Santorini Coffee,melvitto,4Xj0nxVO4r7PLEaw7LRiBa,6TTR7tXftck5lU7BPRY7bV,61,134365,2.24,Last 6 months,THENIGHTISYOUNG.,2019-02-22,False
Partylife,Stefano Ritteri,6mn2bA8ndJUuJVJE8WMvbK,0YBrtkznaCyQlKXKoIWx4O,28,380487,6.34,Last 6 months,Shir Khan Presents Black Jukebox Disco Jam 01,2015-11-16,False
Abasekho,JAZZWRLD,3idyOn3lhSxgV2qdDQNfhz,4fJTDQsxaNee8nmol1OLjI,59,364156,6.07,Last 6 months,The Most Wanted,2025-09-18,False
Big Thug Boys,Babyboy AV,5p1CMGIDFgalZneW5P1EwX,64f7mZuEkeNeKOuzSjrIGm,56,171998,2.87,Last 6 months,Big Thug Boys,2021-06-04,True
If You Were Here Tonight,Alexander O'Neal,047D9GgqEzyMoULd2oKr7G,1zl5xOvzInBy7esv1UAnrc,54,370733,6.18,Last 6 months,Alexander O'Neal,1985-01-01,False
Make Me Feel Better - Don Diablo & CID Remix Radio Edit,Alex Adair,1mrrvBvbrm28iYaPlJ9mG5,3Oz1oOD6Um6ETnimVdBfil,8,202460,3.37,Last 6 months,Make Me Feel Better (Remixes),2015-04-14,False
I Want You Tonight,Roman Royce,4wVkH3oDzZ7ywS9ZB2uKMK,0P2gTRBTZzL0yoRFIFrAwo,22,150836,2.51,Last 6 months,I Want You Tonight,2024-05-23,False
Fountains (with Tems),Drake,3TVXtAsR1Inumwj472S9r4,08XWh5c0BMyD1nKVxxl91z,70,192417,3.21,Last 6 months,Certified Lover Boy,2021-09-03,True
Only for You,Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,1H4qWZy8aBW90r8SWgCTKE,20,343000,5.72,Last 6 months,Only for You,2016-01-22,False
Waiting For You (feat. Naomi Sharon),Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,6ARYP4KyGydosXyxtzlDdc,54,219998,3.67,Last 6 months,Good People,2023-11-03,False
Luv U Better,LL COOL J,1P8IfcNKwrkQP5xJWuhaOC,7cGcyNd7NVvDIwCAQSbJLI,54,286906,4.78,Last 6 months,10,2002-10-08,False
Holy Gee,Cheque,4oQyXxDBq8FBhsjjS7MbcM,3Y8PRiBMczgHn3edpbCkfb,42,164808,2.75,Last 6 months,Holy Gee,2022-07-20,False
OLOLUFE,Oxlade,3WTrdbZU99dgTtt3ZkyamT,1C4ndHztUaefeUlbCue2wt,56,140106,2.34,Last 6 months,OFA (Oxlade From Africa),2024-09-20,False
A House Is Not a Home,Luther Vandross,19y5MFBH7gohEdGwKM7QsP,4gFVTfg1EFuuXJguJe1Z7W,55,427693,7.13,Last 6 months,Never Too Much,1981-07-23,False
Adieu,Tchami,1KpCi9BOfviCVhmpI4G2sY,53Us5C3wTQ2zi6ODWhmHMN,55,413333,6.89,Last 6 months,Adieu,2017-02-03,False
"Abantwana Bakho (feat. Thatohatsi, Young Stunna & Nkosazana Daughter)",DJ Maphorisa,0mMqD2uqwvCjFvlzo6ayGi,62auSQwzIlyVuqUsxd4w63,69,518307,8.64,Last 6 months,NGOMOYA,2025-03-28,False
Turn Back Time,Diplo,5fMUXHkw8R8eOP2RNVYEZX,1J2OlTIPluzOmf3RX8eKhT,52,147260,2.45,Last 6 months,Turn Back Time,2020-11-20,False
Samantha,Tekno,6IhG3Yxm3UW98jhyBvrIut,2amzeTPndvlyXxWR4lnvru,39,229877,3.83,Last 6 months,Samantha,2017-06-09,False
Where Are We Going?,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,7poaDTqWgJQDG5gqvobqXu,55,235680,3.93,Last 6 months,Gold,2005-01-11,False
